domain,email,first_name,company,phone,city
aaa-law.ch,,,"Advokatur am Aeschengraben","",""
aanot.ch,,,"Advokatur & Notariat Ochsner","+41 31 312 10 00",""
advo-jsm.ch,,,"Advokatur JSM","+41 31 302 66 55",""
afhn.sg.ch,,,"Amtsnotariat des Kantons St.Gallen - Rapperswil-Jona","","Rapperswil SG"
beelerlegal.ch,,,"BeelerLegal Advokatur Notariat Steuerberatung","+41 44 586 28 90","Rorschach"
bhlaw.ch,,,"Baur Hürlimann","","Zürich"
bircherlaw.ch,,,"Bircher und Schatzmann","+41 31 952 73 52","Muri bei Bern"
bratschi-law.ch,,,"Bratschi Widerkehr & Buob AG","+41 58 258 10 00","Zürich"
burkhalter-law.ch,,,"Notariat & Advokatur Burkhalter","+41 31 721 19 77","Münsingen"
eisnerlegal.ch,,,"Eisner Advokatur","","Basel"
ff-law.ch,,,"Fricker Füllemann Rechtsanwälte","+41 52 222 01 20","Winterthur"
fiduconsult.ch,,,"FIDUCONSULT","+41 26 422 72 00",""
geosits.ch,,,"lic. iur. Geosits, Rechtsanwalt","+41 43 344 94 04","Zürich"
gni.tg.ch,,,"gni.tg.ch","",""
gr-law.ch,,,"Grossenbacher Rechtsanwälte AG","+41 41 500 56 56",""
kd3.ch,,,"Kanzlei D3","+41 31 352 52 52","Bern"
kienerundnellen.ch,,,"Kiener & Nellen","+41 31 300 40 40",""
kindsvertretung.ch,,,"Institut für Kindsvertretung","+41 31 533 11 00",""
konsulenten.ch,,,"Hirzel.Neef.Schmid.Konsulenten","",""
legalus.ch,,,"Etude de Pierre Serge Heger","+41 26 912 14 44","Bulle"
luginbuehl-eckmann.ch,,,"Luginbühl & Eckmann","+41 31 352 66 01",""
mathysanwaltsbuero.ch,,,"Mathys Anwalts Büro","+41 31 370 10 12",""
mepartners.ch,,,"Markwalder Emmenegger","+41 31 356 21 21",""
notaire-ayer.ch,,,"Chloe Ayer","+41 26 321 33 30",""
notaire-pierrebadoux.ch,,,"Notaire Pierre Badoux","+41 21 845 66 66","Le Sentier"
notaires-uldry.ch,,,"Philippe et François Uldry","+41 26 675 36 66",""
notar-straubhaar.ch,,,"Notar Straubhaar","",""
notariat-germann.ch,,,"Notariat Germann: Notare Hans-Peter und Lukas Germann","+41 33 672 55 55",""
notariate-zh.ch,,,"Notariat, Grundbuch- und Konkursamt Küsnacht","+41 44 947 57 00","Küsnacht ZH"
notariate.zh.ch,,,"Notariat Wald","+41 55 254 51 51",""
ramisberger.ch,,,"Dr. Martin Ramisberger","+41 56 282 28 80",""
rechtsanwalt.sg,,,"AdvoJakob","","Bad Ragaz"
reutlaw.com,,,"Reutlaw, Anwaltskanzlei Zürich","+41 44 599 93 26","Zürich"
rothenbuehler-cocchi.ch,,,"Rothenbuhler & Cocchi","+41 41 240 26 24","Luzern"
solegal.ch,,,"Solenthaler Legal","+41 55 210 96 12","Rapperswil-Jona"
steurifisch.ch,,,"SteuriFisch Rechtsanwälte Notare","+41 71 511 45 05","Wil SG"
thmeier-law.ch,,,"Anwaltskanzlei Thomas Meier","+41 43 399 57 57","Maur"
thomannfischer.ch,,,"ThomannFischer","+41 61 226 24 24","Basel"
zollinger.legal,,,"Zollinger.Legal","+41 44 620 01 81","Watt"
5001.ch,,,"Schärer Rechtsanwälte","+41 62 837 50 00","Aarau"
advokaturweber.ch,,,"Dr. Eva Weber Advokatur","+41 61 311 25 00",""
advotanner.ch,,,"Anwaltsbüro Tanner","+41 62 776 53 53",""
ag.ch,,,"Staatsanwaltschaft Lenzburg-Aarau","+41 62 885 26 26",""
amstutzgreuter.ch,,,"Amstutz|Greuter","+41 31 306 99 99",""
avocats-ch.ch,,,"Avocats-CH","+41 21 317 52 62","Lausanne"
baenzigerbaenziger.ch,,,"Bänziger Bänziger Rechtsanwälte","","Winterthur"
baerkarrer.ch,,,"Bär & Karrer AG","",""
bdlegal.ch,,,"Battegay Dürr","+41 61 225 03 03",""
blumgrob.ch,,,"Blum & Grob Rechtsanwälte","","Zürich"
bratschi.ch,,,"Bratschi","+41 58 258 14 00","St. Gallen"
bvlegal.ch,,,"B&V Legal - Etude Bender & Vogel Associés","+41 21 312 06 67",""
cbc.ch,,,"cBc","",""
frauenfeld-anwalt.ch,,,"Advokaturbüro Lei & Nobs","+41 71 622 42 82",""
fuererpartner.com,,,"Fürer Partner Advocaten","",""
greatsquare.swiss,,,"Great Square","",""
heks.ch,,,"Rechtsberatungsstelle für Aslyrecht Ostschweiz","",""
hepp.ch,,,"Hepp Wenger Ryffel AG","+41 71 913 95 55","Wil SG"
kanonengasse.ch,,,"advokatur kanonengasse","+41 43 322 12 12","Zürich"
merenyi-avocats.ch,,,"Etude d'avocat Merenyi","+41 24 426 02 02","Yverdon-les-Bains"
mme.ch,,,"MME","",""
schochauer.ch,,,"schochauer ag","+41 71 227 84 84","St. Gallen"
steigerlegal.ch,,,"Steiger Legal AG","+41 44 533 13 60","Zürich"
swisslegal.ch,,,"SwissLegal asg.advocati","","St.Gallen"
urbalex.ch,,,"urbalex avocats","+41 21 944 42 42","La Tour-de-Peilz"
weblaw.ch,,,"Weblaw","+41 31 380 57 77",""
wehrlipartner.ch,,,"Wehrli & Partner Rechtsanwälte","+41 62 871 75 75","Frick"
