domain,email,first_name,company,phone,city
aa-sa.ch,,,"Ateliers d'Architecture SA / AA","",""
ak-baumanagement.ch,,,"AK Baumanagement GmbH","+41 79 911 35 79",""
amara-architecture.ch,,,"AMARA Architecture Sàrl","","Chavornay"
amosarchitectes.ch,,,"Amos architectes","+41 22 734 62 00",""
arch-steiner.ch,,,"Steiner plus","+41 32 636 35 27",""
archfausch.ch,,,"Fausch Architektur + Bau","",""
architram.ch,,,"ARCHITRAM Architecture et Urbanisme","+41 21 631 35 35","Renens"
arlab.ch,,,"Arlab","",""
asp-architekten.ch,,,"ASP Architekten AG","",""
atba.ch,,,"atba","+41 22 322 89 50","Genève"
atelier-ab.ch,,,"atelier a&b","+41 31 333 56 56",""
atelier-ww.ch,,,"atelier ww","","Zürich"
bauexperten.ch,,,"Bauexperten","",""
baustube.ch,,,"Architekturbüro Baustube","+41 31 512 90 82","Burgdorf"
bbarc.ch,,,"Buchner Bründler Architekten AG","+41 61 306 30 00","Basel"
bdl-arch.ch,,,"BDL architectes","",""
bereuter.ag,,,"Bereuter","+41 71 844 49 49",""
biolleypollini.ch,,,"Biolley Pollini architectes","+41 21 624 43 21","Lausanne"
burckhardtpartner.ch,,,"Burckhardt+Partner AG","+41 31 335 21 11","Bern"
burk.ch,,,"Burkhardt Architektur","",""
capetra.ch,,,"Capetra","",""
carlosmartinezrorschach.ch,,,"Carlos Martinez Architekten AG","+41 71 845 67 67","Rorschach"
chavesbiedermann.ch,,,"ChB","",""
christgantenbein.com,,,"Christ & Gantenbein Architekten","+41 61 260 90 20","Basel"
clerc.ch,,,"Clerc AG","+41 26 492 54 50","Düdingen"
coretra.ch,,,"Coretra","",""
daris-lepine.ch,,,"Daris Lépine architectes EPF","+41 21 845 43 41","Le Sentier"
desseinarchitecture.ch,,,"Dessein Architecture Sàrl","+41 26 663 25 36","Estavayer-le-Lac"
dienerdiener.ch,,,"Diener & Diener Architekten","+41 61 270 41 41","Basel"
droz-architecture.ch,,,"DBArchitecture","",""
eins-gruppe.ch,,,"eins Architekten AG","+41 44 515 47 10","Wallisellen"
extra-ag.ch,,,"extrā","+41 31 330 45 00",""
fabriq.ch,,,"fabriq architectes","","Aigle"
fehr-partner.ch,,,"R. Fehr und Partner GmbH","",""
fierz-architektur.ch,,,"Architektengruppe Schöftland GmbH","+41 62 721 34 44",""
freiraumarchitektur.ch,,,"Freiraumarchitektur","",""
groupe-h.com,,,"Groupe-H","+41 22 782 05 40",""
haafhaemmig.ch,,,"Haaf & Haeming Architekten","+41 31 390 40 40",""
hansen.ch,,,"Jan Henrik Hansen GmbH","+41 44 241 65 55","Zürich"
hediger-architekten.ch,,,"Hediger Architekten","","Leibstadt"
heer-architektur.com,,,"Heer Architektur GmbH","+41 61 361 04 00","Basel"
innoraum.ch,,,"innoraum ag","+41 52 728 90 00","Frauenfeld"
jlzarchitecture.ch,,,"JLZ Architecture","+41 79 383 30 09","Vevey"
k-architectes.ch,,,"Atelier K architectes","+41 22 869 16 00","Carouge GE"
karlharlacher.ch,,,"Karl Harlacher","",""
l-und-s.ch,,,"Leutwyler & Sandmeier Architekten AG","",""
lblp-architectes.ch,,,"Bernet & Preitner Architectes","+41 79 305 49 04","Morges"
liechti-sollberger.ch,,,"Liechti + Sollberger","+41 34 420 34 82",""
lumo-architekten.ch,,,"LUMO Architekten AG","+41 56 269 20 00","Döttingen"
lza.ch,,,"LZA Architectes AG","+41 26 347 51 51",""
meier-architekten.ch,,,"Meier Architekten","+41 43 222 48 80","Zürich"
millermaranta.ch,,,"Miller & Maranta Architekten","+41 61 260 80 00","Basel"
mollet-barmada.ch,,,"MBArchitectes","+41 21 922 38 53",""
neffneumann.ch,,,"neff neumann architekten","+41 44 248 36 00","Zürich"
noue.ch,,,"Noue Studio","",""
ph-gillieron.ch,,,"Philippe Gilliéron","",""
pz-p.ch,,,"paul zimmermann + partner AG","+41 41 398 00 99","Vitznau"
rastarchitekten.ch,,,"rastarchitekten","+41 31 356 54 54",""
reneschmid.ch,,,"René Schmid Architekten","+41 44 317 90 90",""
riforma.archi,,,"riforma architecture sa","+41 26 425 47 77","Fribourg - Freiburg"
roggerambauen.ch,,,"Rogger Ambauen AG","+41 41 348 02 30","Emmenbrücke"
rosselarchitecture.ch,,,"Rossel Architecture & Media","+41 79 342 72 33","Cheyres"
ruzarch.ch,,,"Architekturbüro Rausser und Zulauf","+41 31 301 95 35",""
sjb.ch,,,"SJB Kempter Fitze AG","+41 71 385 29 04","Gossau SG"
spinelli-architecture.ch,,,"Spinelli architecture","+41 22 347 46 33","Carouge GE"
standke.ch,,,"Standke Architekten","+41 61 281 51 00",""
stauffacher-aemisegger.ch,,,"Stauffacher Aemisegger Architekten","",""
vischer.ch,,,"Vischer Architekten","+41 61 560 09 09","Basel"
w2h.ch,,,"W2H","+41 31 370 40 40",""
wiesmann-architekten.ch,,,"wiesmann architekten","",""
wp.almamaki.ch,,,"Alma Maki GmbH - Architekten","+41 61 691 02 22","Basel"
adrianstreich.ch,,,"Adrian Streich Architekten","+41 44 364 06 46",""
apart-architektur.ch,,,"Apart Architektur AG","+41 32 332 99 00","Biel/Bienne"
babb.ch,,,"babb.","+41 79 827 26 18","St. Gallen"
bachelard-wagner.ch,,,"Bachelard Wagner Architekten AG","+41 61 556 33 30","Basel"
baumschlager-eberle.com,,,"Baumschlager Eberle St. Gallen AG","+41 71 227 14 24","St.Gallen"
bgs-architekten.ch,,,"BGS & Partner Architekten","","Rapperswil"
bhend.klammer.ch,,,"bhend.klammer dipl. architekten eth sia","+41 44 440 29 94",""
bio-eco.ch,,,"Kamishibai","+41 21 861 00 96","Vevey"
buolzuend.ch,,,"Buol&Zünd Architekten","","Basel"
bw-innenarchitektur.ch,,,"bw innenarchitektur ag","","Schöftland"
cerutti-partner.ch,,,"cerutti+partner architekten","+41 41 289 31 31",""
dadarchitekten.ch,,,"dadarchitekten","+41 31 332 03 04",""
dscheuchzer.ch,,,"ds Architektur","+41 79 797 15 08","Möhlin"
finsler.ch,,,"Daniel Finsler Architekt","+41 44 771 16 86","Adliswil"
gpag.ch,,,"Gähler und Partner","+41 56 200 95 11",""
hosoyaschaefer.com,,,"Hosoya Schaefer Architects AG","","Zürich"
hp-arch.ch,,,"Hunkeler Partner Architekten AG","+41 41 925 50 50","Schenkon"
hpk-architekten.ch,,,"HPK Architekten AG","+41 55 418 40 00","Uznach"
huusfabrik.ch,,,"HuusFabrik GmbH","",""
jordiarch.ch,,,"Jordi Architekten","+41 31 357 03 03",""
jsarch.ch,,,"Johannes Schäfer Architekt","","Basel"
k2architekten.ch,,,"K2 Architekten AG","+41 61 525 84 80","Basel"
klammer.ch,,,"klammer.ch","","Zürich"
kmpag.ch,,,"KMP Architektur AG","+41 56 438 08 08",""
kollektive.ch,,,"kollektive architekt","+41 61 229 44 80","Basel"
manuelherz.com,,,"Manuel Herz Architekten","",""
massplan.ch,,,"Massplan","+41 41 521 20 00",""
metron.ch,,,"Metron Brugg AG","+41 56 460 91 11","Brugg AG"
prantlag.ch,,,"PRANTL Bauplaner AG","+41 31 724 20 00",""
rlc.ch,,,"RLC Architekten AG","+41 71 886 17 17","Rheineck"
roskothen.ch,,,"roskothen architekten gmbh","","Rapperswil"
scheitlin-syfrig.ch,,,"Scheitlin Syfrig Architekten AG","",""
