domain,email,first_name,company,phone,city
aavorstadt.ch,,,"Praxis Aavorstadt","+41 62 892 41 60",""
aerztehaus-oberdorf.ch,,,"Bircher Ralph","+41 44 930 44 44","Wetzikon ZH"
akupunktur.ch,,,"Ärztegemeinschaft Chinesische Medizin","+41 44 834 00 01","Zürich"
albisdocs.ch,,,"Praxis Knöpfel/Voigt","+41 44 700 11 44","Wettswil"
ambulante-chirurgie.ch,,,"Ismail Atef","+41 44 933 50 80","Wetzikon"
arzt-moosseedorf.jimdo.com,,,"Liselotte Hochuli","+41 31 852 00 10","Moosseedorf"
augencentrum.com,,,"AugenCentrum Bahnhof Belp","+41 31 819 58 33","Belp"
augenzentrum-duedingen.ch,,,"Augenzentrum Düdingen","+41 26 505 33 00","Düdingen"
augenzentrumbasel.ch,,,"Augenzentrum Bahnhof Basel","",""
cabinet-kroni.ch,,,"Cabinet médical Dr. Kroni, FMH en psychiatrie et psychothérapie","+41 24 425 51 61",""
chinamed.com,,,"Chinamed","",""
cmcayla.ch,,,"Cabinet Médical de Cayla","+41 22 346 33 33","Genève"
cmccornavin.ch,,,"Centre Médico-Chirurgical de Cornavin","+41 22 595 11 11","Genève"
cmdv.ch,,,"Cabinet Médical des Vergers","+41 22 782 24 00","Meyrin"
cmgl.ch,,,"Centre Médical du Grand-Lancy","","Grand-Lancy"
consultation-psy-mraihi.com,,,"Dr Amine Mraihi","+41 76 409 60 49","Pully"
doktor.ch,,,"Dr. med. Michael Kübler","+41 55 240 13 17",""
dr-walser.ch,,,"Arztpraxis Zypresse - Meerwein, Sturzenegger, Walser","+41 44 241 75 55","Zürich"
drausderau.ch,,,"Centre de l'oeil","+41 26 350 11 30",""
drmed.ch,,,"Karajiannis","+41 31 381 25 14",""
drmed.ch.tiberius.sui-inter.net,,,"Mr. Dr.med. Markus Schreen","","Stäfa"
familienpraxisfrauenfeld.ch,,,"Familienpraxis Frauenfeld","",""
