domain,email,first_name,company,phone,city
abraxas.ch,,,"Abraxas Informatik AG","+41 58 660 43 00",""
abs-coaching.ch,,,"ABS Coaching","+41 71 422 75 45","Hauptwil"
alizan.ch,,,"Alizan","",""
altertransitions.com,,,"Alternatives et Transitions Coaching","+41 24 420 34 40","Yverdon-les-Bains"
alto-boutique.com,,,"Alto interior design","+41 21 922 00 97","Vevey"
apple-support.ch,,,"Apple Support","+41 76 338 18 86","Basel"
arcanite.ch,,,"Arcanite","+41 21 946 50 50","Puidoux"
argus-engineering-vevey.ch,,,"Argus Engineering Conseils Sàrl","+41 21 601 45 75","Vevey"
aries-vision.ch,,,"Aries Vision","+41 79 734 40 37","Puidoux"
arteria.ch,,,"arteria GmbH","+41 61 331 15 65","Basel"
automatic-server.com,,,"Automatic Server AG","+41 71 511 31 11","St. Gallen"
ayeaye.ch,,,"AYE AYE GmbH","",""
azimut-prod.com,,,"Azimut Prod sàrl","+41 22 796 16 11","Châtelaine"
bbox.ch,,,"BBoxBBS","+41 31 990 00 90","Bern"
bluematicag.com,,,"Bluematic AG","+41 71 274 02 80","St. Gallen"
bluesky-it.ch,,,"Bluesky IT-Solutions AG","+41 61 415 21 00","Basel"
brainbox.swiss,,,"BrainBox Solutions","",""
burningbox.ch,,,"Burning Box SA","",""
centralway.com,,,"Centralway Switzerland AG","",""
chrisign.ch,,,"chrisign","+41 71 622 67 41",""
colab-fribourg.ch,,,"Colab Fribourg","+41 79 351 49 94","Fribourg"
cpi.ch,,,"IWZ","",""
ecmind.ch,,,"ECMind GmbH","",""
ei-group.ch,,,"Ethical Insurance Group","",""
elca.ch,,,"ELCA","+41 21 613 21 11","Pully"
eukleia.eu,,,"Eukleia Suisse","","Plan-les-Ouates"
fina.ch,,,"Fina","",""
flowride.org,,,"FlowRide","+41 22 508 74 72","Genève"
foton.ch,,,"foton","","Basel"
futurelab.ch,,,"futureLAB AG","",""
genedata.com,,,"Genedata","",""
