domain,email,first_name,company,phone,city
activephysio.ch,,,"Active Physio","",""
alphysio.ch,,,"Physiothérapie des Philosophes - Plainpalais","+41 78 303 72 44","Genève"
aporteedemain.ch,,,"À portée de main","+41 22 774 06 60",""
aquamed.ch,,,"Aquamed","+41 21 625 77 01","Morges"
cabinet-physio.ch,,,"PhysioVita","+41 21 881 23 66","Echallens"
chraftruum.ch,,,"chraftruum","+41 31 533 18 08",""
dynamed.ch,,,"DynaMed","",""
esp-y.ch,,,"Esprit Sport","+41 24 426 02 93","Yverdon-les-Bains"
fitline-plaffeien.ch,,,"Fit-line Wellness AG","+41 26 419 39 49","Plaffeien"
gedanken-atelier.ch,,,"Gedankenatelier Hypnosetherapie","",""
groebliundgroebli.ch,,,"Groebli & Groebli","+41 52 203 14 03",""
inform-plus.ch,,,"InForm Plus","",""
interagir.ch,,,"Cabinet de physiothérapie Castella","","Bulle"
kinderphysiowil.ch,,,"Kinderphysiotherapie Wil","+41 71 920 12 12","Wil SG"
kravartherapie.ch,,,"Kravar Therapie","+41 41 218 40 47",""
kruyver.com,,,"Institut für Physiotherapie Cees & Zdenka Kruyver","",""
massage-oerlikon.ch,,,"Massage-Praxis & Rückentherapie","+41 43 536 84 82","Zürich"
medcare.ch,,,"Ruedi Steuri","+41 79 378 70 46",""
medimove.ch,,,"Medimove","+41 22 348 28 75","Chêne-Bourg"
mft.ch,,,"Medical Fitness Team Physio","",""
nordsternphysio.ch,,,"Nordstern Physiotherapie","",""
osteopathecarouge.ch,,,"Ostéopathe","+41 79 239 48 64","Chêne-Bourg"
part-amriswil.ch,,,"PART Physio","",""
physio-badischer-bahnhof.ch,,,"Physiotherapie am Badischen Bahnhof","",""
physio-boner.ch,,,"Physiotherapie Praxis Rolf Boner","+41 44 937 45 16","Hinwil"
physio-bues.ch,,,"Physio Bues","+41 31 301 40 03",""
physio-centre-meyrin.ch,,,"Physio Centre de Champs-Fréchets","+41 22 782 43 43","Meyrin"
physio-clinics.ch,,,"Physio Clinics","",""
physio-du-leman.ch,,,"Physio du Léman","+41 21 802 13 13",""
physio-it.ch,,,"Physio-it","",""
physio-lehmkuhl.ch,,,"Physiotherapie Bachletten Simon Lehmkuhl","+41 79 455 87 69",""
physio-littau.ch,,,"Physiotherapie Fanghöfli","+41 41 250 33 60","Luzern"
physio-marbach.ch,,,"dr'Physio z'Marpa","+41 71 770 06 92","Marbach"
physio-pantarhei.ch,,,"Pantarhei","+41 61 272 14 96",""
physio-park.ch,,,"Physio Park","+41 41 535 95 15","Horw"
physio-pelvis.ch,,,"Cabinet de physiothérapie","+41 77 522 86 33",""
physio-remove.ch,,,"Physio ReMove","",""
physio-stjohannseck.ch,,,"Physiotherapie St. Johannseck","+41 61 322 46 50",""
physio-trainierbar.ch,,,"Physio Trainierbar","","Basel"
physio-wuerenlingen.com,,,"Physio Würenlingen AG","+41 56 281 13 26","Würenlingen"
physio4life.ch,,,"physio4life","+41 31 301 82 03",""
physio5.ch,,,"Fitness 5","+41 31 305 05 05","Bern"
physioapm.ch,,,"Katja Martin","",""
physiobelp.ch,,,"Physiotherapie Bahnhofplatz Belp GmbH","",""
physiobollwerk.ch,,,"Physiotherapie Bollwerk","+41 31 311 06 60",""
physiocormanon.ch,,,"Physio Cormanon","","Villars-sur-Glâne"
physiofactory.ch,,,"Physio Factory","","St.Gallen"
physiofägt.ch,,,"physio fägt","",""
physiohadorn.ch,,,"physio hadorn","","Islikon"
physioimtower.ch,,,"Physio im Tower","",""
physiojordi.com,,,"Physio Jordi","+41 61 500 06 75","Riehen"
physiokokot.ch,,,"Kokot","",""
physiokreuzplatz.ch,,,"Physiotherapie Kreuzplatz GmbH","+41 44 260 95 95",""
physiomedo.ch,,,"Physiotherapie Medo","+41 52 721 97 17",""
physioon.ch,,,"Physio ON GmbH","",""
physioplus-kreuzlingen.ch,,,"Physio Plus","",""
physiosport-ag.ch,,,"physio sport ag","+41 52 317 14 22","Andelfingen"
physioss.ch,,,"Physio Santé Sport","+41 21 799 20 20","Cully"
physiotherapie-des-noirettes.ch,,,"Physiothérapie des Noirettes","+41 78 230 79 40","Carouge GE"
physiotherapie-niesen.ch,,,"Physiotherapie Niesen","+41 33 654 87 00","Spiez"
physiotherapie-zo.ch,,,"Physiotherapie ZüriOberland","+41 44 578 17 17",""
physiotraining.ch,,,"Physiotherapie Niederlenz","+41 62 892 13 10","Niederlenz"
physiotrainingbuchs.ch,,,"Physio Training Buchs","+41 62 822 68 09","Buchs (AG)"
physiovasques.ch,,,"João Vasques","+41 78 741 38 06","Lausanne"
physiozone.ch,,,"Physiozone","",""
physiozueriwest.ch,,,"PhysioZüriWest","+41 44 554 90 66","Zürich"
ppundg.ch,,,"Praxis Physiotherapie & Gesundheit","+41 52 761 35 02","Steckborn"
praxis-am-hafen.ch,,,"Teresa Ostrop - Praxis am Hafen","",""
praxis-ingold.ch,,,"Physiotherapie, Naturheilkunde Eva Ingold Ehrisman","+41 44 926 78 38",""
praxis-körperkult.ch,,,"Praxis Körperkult","+41 71 633 22 30","Bürglen TG"
praxis-stadtmitte.ch,,,"Praxis Stadtmitte","","Basel"
pts-pravention-therapie-sport.business.site,,,"PTS Prävention","",""
rehaaktiv.ch,,,"rehaAKTIV","+41 56 210 10 67","Birmenstorf AG"
rehazentral.ch,,,"Reha Zentral Physiotherapie","",""
robveldman.ch,,,"Rob Veldman Osteopathie und Physiotherapie","","Luzern"
rt-physio.ch,,,"RT-Physio","",""
sas-gv.ch,,,"Service de psychomotricité de la Glâne - Veveyse","",""
saugyperformance.ch,,,"Saugy Performance","+41 79 542 71 78","Lausanne"
sportsantepr.ch,,,"Sport & Santé","+41 22 313 42 40","Grand-Lancy"
team3plus.ch,,,"team3plus","+41 61 641 31 31",""
tesphysios.ch,,,"Tes Physios","",""
therapiepunkt-jegenstorf.ch,,,"Therapiepunkt","+41 31 761 18 18","Jegenstorf"
therapiepunkt-suenikon.ch,,,"THERAPIEpunkt Sünikon","+41 43 540 65 69",""
therapiestelle-sg.ch,,,"Therapiestellen für Kinder und Jugendliche","+41 81 756 47 54","Buchs"
therapiezentrum.ch,,,"Therapiezentrum HandinHand","","Zürich"
twiss-therapie.ch,,,"Twiss Therapie","+41 79 609 74 97","Buchs (SG)"
vmtiertherapie.com,,,"Vanessa M. Tiertherapie","+41 79 433 47 54",""
activepeople.ch,,,"ActivePeople","+41 31 382 52 82",""
cranio-fricktal.ch,,,"Praxis der Lebensenergie","",""
cstplus.ch,,,"Centre Sport Thérapie Plus","+41 21 931 18 00",""
diagonal-bewegt.ch,,,"Diagonal","+41 33 356 42 65",""
