domain,email,first_name,company,phone,city
ad-verwaltung.ch,,,"AD-Verwaltung","",""
assicurama.ch,,,"Assicurama AG","","Bern"
ato.ch,,,"ATO Treuhand","+41 31 306 66 66",""
confisus.ch,,,"Confisus Treuhand AG","",""
consultant.svag.ch,,,"SVAG Schweizer Vermögensberatung - Alfredo Garcia","+41 56 203 19 19",""
ehico.ch,,,"Ehinger & Cie.","+41 61 205 81 11",""
fiduciaire-gomez.ch,,,"Fiduciaire J. GOMEZ-Spaeth","","Vallorbe"
fiduciaire.ch,,,"Cabinet Fiduciaire et Fiscal, Dino Venezia SA","+41 21 320 57 57",""
globalcityfinance.ch,,,"Golbal City Finance AG","","Zürich"
hasiagentur.ch,,,"Hasi Agentur","",""
immotax.ch,,,"Marcel Graf","","St.Gallen"
invicto-advisory.ch,,,"Invicto","",""
jm-service.ch,,,"JM-Service Sàrl","+41 79 460 89 68","Chesières"
kexp.ch,,,"Keller Experten AG","",""
leosor.net,,,"leosor GmbH Treuhand & Beratung","","Zürich"
metzgertreuhand.ch,,,"MT Metzger-Treuhand AG","",""
prinzip2.ch,,,"Prinzip Zwei Treuhand","+41 61 511 80 31","Basel"
schaer-treuhand.ch,,,"Schär Treuhand AG","+41 62 751 96 82","Zofingen"
securafinanz.ch,,,"Secura Finanz","",""
servicepoint.ch,,,"Service Point Treuhand KLG","+41 44 512 22 42","Wetzikon ZH"
steuernoerlikon.ch,,,"Spörri & Sprenger","","Zürich"
thurgau-treuhand.ch,,,"von Ah Treuhand","",""
torus.investments,,,"Torus Investments","","Winterthur"
treuhandbern.ch,,,"Blaser Treuhand AG","+41 31 372 11 11","Köniz"
treuhandgermann.ch,,,"Treuhand Germann","+41 31 869 66 43",""
zwei-wealth.ch,,,"ZWEI Wealth","","Winterthur"
aar-consulting.ch,,,"aar CONSULTING GmbH","",""
energy-infrastructure-partners.com,,,"Energy Infrastructure Partners","","Zürich"
eugenburri.ch,,,"Eugen Burri Treuhand","+41 31 535 63 94","Bern"
fenix-zh.ch,,,"fenix Consulting GmbH","","Glattpark (Opfikon)"
fiduciaire-genevoise.ch,,,"FG Fiduciaire Genevoise SA","+41 22 715 17 40","Genève"
fina.ch,,,"Fina","+41 43 211 61 61","Glattpark (Opfikon)"
g-fb.ch,,,"G_FB Zürich AG","",""
idp-treuhand.ch,,,"Dr. Iten, Dudli + Partner","+41 44 308 25 50","Zürich"
infocompta.ch,,,"InfoCompta","+41 21 887 87 34","Bercher"
inyova.ch,,,"Inyova","",""
ir-treuhand.ch,,,"IR Treuhand","+41 32 661 04 54","Jegenstorf"
life-gate.ch,,,"LifeGate","+41 44 552 35 00","Dübendorf"
nascom.ch,,,"Nascom Sàrl","+41 26 662 16 46","Payerne"
obt.ch,,,"OBT","",""
quanthome.com,,,"Quanthome","","Lausanne"
rescadsa.ch,,,"Rescad S.A.","+41 22 342 23 00",""
simpletax.ch,,,"simple tax finance (SimpleTax)","+41 84 880 28 01","Dübendorf"
snb.ch,,,"Schweizerische Nationalbank","+41 31 327 02 11",""
sonect.net,,,"Sonect","+41 78 217 55 55","Zürich"
steuerladen.ch,,,"stüürlade","+41 44 363 28 22","Zürich"
steuern59.ch,,,"Steuern59","",""
tmosimann.ch,,,"TMosimann Treuhand","","Rüegsauschachen"
vermoegenszentrum.ch,,,"VZ VermögensZentrum AG","+41 44 207 27 27",""
vibro.ch,,,"Vibro Consulting AG","",""
