domain,email,first_name,company,phone,city
absoludent.ch,,,"absoluDENT","+41 21 888 81 23",""
acc-zahnklinik-zahnarzt-basel.ch,,,"ACC Zahnklinik","","Basel"
bestsmile.com,,,"Bestsmile","",""
bourquident.ch,,,"Zahnarztpraxis Bourqui","+41 41 970 16 22",""
cabinetducentre.ch,,,"Cabinet du Centre Marly","+41 26 436 24 44",""
cdb1.ch,,,"Centre Dentaire B1 Châtel-St-Denis","+41 21 948 06 06","Châtel-Saint-Denis"
chablais-dentaire.ch,,,"Clinique Dentaire du Chablais","+41 24 471 71 71","Aigle"
clinique-dentaire.ch,,,"Clinident","",""
cordey-rosenkranz.ch,,,"Dr. Bianca Cordey-Rosenkranz","+41 26 322 19 78",""
dentaclean.ch,,,"DentaClean","+41 76 210 17 42","Düdingen"
dentalteamlaufenburg.ch,,,"Dentalteam Laufenburg","",""
dentalys.ch,,,"Dentalys","+41 24 552 05 15","Yverdon-les-Bains"
dentiste-prilly.ch,,,"Cabinet Dentaire « Al Dente »","+41 21 624 25 00",""
dentiste-vuadens.ch,,,"Cabinet dentaire Jean-Michel Noverraz","",""
doktordent.ch,,,"Zahnarztpraxis Dres. Siegenthaler und Glenz","+41 61 302 18 00",""
dr-lauber.ch,,,"Oralchirurgie am Bohl","","St.Gallen"
drbonsall.ch,,,"Dr Garry Bonsall","+41 61 271 06 04",""
drcarollo.ch,,,"Zahnarztpraxis Carollo","+41 41 980 41 41",""
drhediger.ch,,,"Dr. Hediger","+41 62 721 72 10",""
eosclinic.ch,,,"EOS clinic","+41 61 533 63 63",""
fritz-fahrlaender.ch,,,"Fahrländer","",""
grohmann-eisner.ch,,,"Grohmann & Eisner Zahnärzte","",""
hallberg-dentes.ch,,,"dentes.ch","+41 55 210 24 33","Rapperswil"
ihr-zahnarzt.ch,,,"Zanharztpraxis Frei","+41 31 992 03 33","Bern"
khoury-dulla.ch,,,"KD1 Cabinet Dentaire Khoury & Dulla","+41 21 312 79 38","Lausanne"
laptitesouris.com,,,"La p'tite souris","+41 24 552 04 14",""
lifedent.ch,,,"Zahnärzteteam Volketswil","+41 44 945 40 40","Volketswil"
praxis-kronenberg.ch,,,"Otmar Kronenberg Kieferorthopädie","","Luzern"
praxis-landegg.ch,,,"Zahnarzt Mr. Dr.med.dent. Werner Hübscher","+41 41 497 11 43",""
romelli.ch,,,"Dr Massimo Romelli","+41 22 740 45 38","Genève"
rui.ch,,,"Dr.med.dent. Rui","+41 31 370 16 16",""
savvy-dent.ch,,,"Savvy Dent","",""
schalcher.ch,,,"Praxis für Kieferorthopädie Remo Schalcher","+41 44 930 66 16","Wetzikon"
smilegeneva.ch,,,"It‘s Your Smile","+41 22 741 20 20",""
strugar.ch,,,"Dr. med. dent. T. Strugar","+41 41 980 45 88",""
zahnaerztebern.ch,,,"Zahnärzte Bern","+41 31 311 25 42",""
zahnaerztecenter-harryfrey.ch,,,"Harry Frey","","Luzern"
zahnarzt-balsiger.ch,,,"Zahnarztpraxis Balsiger GmbH","+41 33 356 24 52",""
zahnarzt-buelhof.ch,,,"Zahnarzt Büelhof","","Niederuzwil"
zahnarzt-eschenbach.ch,,,"Dr. med. dent. Susanne Bucher","+41 55 282 46 44","St. Gallenkappel"
zahnarzt-frick.ch,,,"Amberg & Amberg Zahnmedizin im Kornhaus AG","+41 62 871 44 12",""
zahnarzt-merz.ch,,,"Praxis für Allgemeinzahnmedizin und Oralchirurgie Dr. Miriam Merz","+41 61 281 81 11",""
zahnarzt-noetzel.ch,,,"Zahnarztpraxis Dr. Matthias Nötzel","+41 32 344 46 95","Biel/Bienne"
zahnarzt-peter.ch,,,"Lukas Peter","",""
zahnarzt-stocker.com,,,"Zahnarztpraxis Stocker","+41 41 921 21 83","Sursee"
zahnarzt-zentrum-biel.ch,,,"AJ Zahnzentrum","+41 32 322 20 00",""
zahnarzt-zuercher.ch,,,"Dr. med. dent Daniel Zürcher","+41 52 386 31 21","Bauma"
zahnarztbuechler.ch,,,"Zahnarztpraxis André Büchler","+41 31 741 18 48",""
zahnarztpraxis-dr-schulz.ch,,,"Leonhard Schulz","+41 62 822 34 33","Aarau"
zahnarztpraxis-eschlikon.ch,,,"Zahnarztpraxis Dr. med. dent. Isabella Ochmann MSc","+41 71 971 27 77",""
zahnarztpraxis-tannenhof.ch,,,"Norbert Hüssy","+41 55 240 43 13","Dürnten"
zahnarztpraxis-turgi.ch,,,"Zahnarztpraxis Turan","+41 56 223 15 94",""
zahnarztpraxis-weinmarkt.ch,,,"Zahnarztpraxis am Weinmarkt","+41 41 410 12 21","Luzern"
zahnmedizin-arbon.ch,,,"Zahnarztpraxis Dr.med.dent. Ingrid Vanoni-Heineken","",""
zahnmedizin-rupperswil.com,,,"Zahnarztpraxis Rupperswil","+41 62 897 50 15","Rupperswil"
zahnmedizinischepraxis.ch,,,"Dr. med. dent. Beatrice Brun","+41 41 210 33 36","Luzern"
zahnpraxis-zingg.ch,,,"Zahnarztpraxis Zingg","+41 71 994 36 46","Neu St. Johann"
zahnprothetik-schuler.ch,,,"Praxis für Zahnprothesen Schuler","+41 44 975 12 52","Gossau (ZH)"
zahnprothetiker.ch,,,"Praxis für Zahnprothetik","+41 52 386 33 44","Bauma"
adent.ch,,,"Adent","+41 56 566 73 00",""
andreaskaiser.ch,,,"Dr. med. dent. Andreas Kaiser","",""
ardentis.ch,,,"Ardentis","",""
bern.ch,,,"Schulzahnklinik Bern","","Bern"
cabdentouchy.ch,,,"Cabinet Dentaire d’Ouchy","+41 21 616 03 78","Lausanne"
cabinet-dentaire-vevey.ch,,,"Adent","+41 21 921 55 88","Vevey"
centrodent.ch,,,"Centrodent","+41 31 381 56 55",""
kadent.ch,,,"KADENT","","Basel"
margrethen.ch,,,"Praxis-Team St. Margrethen","+41 62 871 19 61","Frick"
neveclinic.ch,,,"Clinique dentaire néVé","+41 22 800 11 11","Grand-Lancy"
praxisliebefeld.ch,,,"Zahnarztpraxis Liebefeld","+41 31 971 30 30",""
swiss-smile.com,,,"swiss smile","+41 56 221 00 70","Baden"
swissdentalcenter.ch,,,"Swiss Dental Center","",""
unige.ch,,,"Clinique Universitaire de Médecine Dentaire (CUMD)","+41 22 379 40 00","Genève"
uzb.ch,,,"Universitäres Zentrum für Zahnmedizin Basel","","Basel"
za-augarten.ch,,,"Zahnarztpraxis Augarten","","Niederuzwil"
zahnarzt-neuenkirch.ch,,,"Zahnarztpraxis Neuenkirch","",""
zahnarzt-oettli.ch,,,"Dr. Oettli","+41 56 426 86 86",""
zahnarzt-praxis-luzern.ch,,,"Praxis Krebs & Martin","+41 41 417 40 40","Luzern"
zahnarzt-rapperswil.ch,,,"Zahnarztpraxis Dr. Andrea Specker","+41 55 210 90 30","Rapperswil-Jona"
zahnarzt-schwanengasse.ch,,,"Zahnarztpraxis Schwanengasse","+41 31 311 24 12",""
zahnarzt-wetzikon.ch,,,"Fabiola Krebs Rodriguez","","Wetzikon"
zahnarzt-willisau.ch,,,"Zahnarztpraxis am Untertor","+41 41 970 33 77",""
zahnarztpraxis-baden.ch,,,"Schneider Zahnärzte","",""
zahnarztpraxis-bremgarten.ch,,,"Zahnarztpraxis Dr. Waletzko","+41 56 633 93 93","Bremgarten AG"
zahnarztpraxis-dr-wardak-basel.ch,,,"Zahnarztpraxis Dr. Wardak","+41 61 302 00 39","Basel"
zahnarztpraxis-nottwil.ch,,,"Zahnarztpraxis Nottwil","","Nottwil"
zahnarztpraxis-wettingen.ch,,,"Zahnarztpraxis Wettingen","",""
zahnarztsennwald.ch,,,"Zahnarzt Dr. Hammad","+41 81 757 10 10","Sennwald"
zahnarztteam.ch,,,"Zahnarztpraxis Jaeggi/Scheidegger","+41 33 438 38 28",""
zahnarztzentrum.ch,,,"Zahnarztzentrum","+41 43 336 39 00",""
ztlu.ch,,,"Zahnarztteam Luzern Praxis Dr. Schulte","+41 41 210 58 58","Luzern"
